lig_id,zinc_id,affinity,mw,qed,amp_similarity,can_smiles
Z00603,222866115,-9.06,350.3,0.683,0.109,O=C(O)CO[C@H]1CCOC[C@H]1NC(=O)c1ccc2c(c1)OCC(=O)N2
Z00206,2325896723,-9.06,387.4,0.622,0.086,CC(C)[C@@H](NC(=O)c1cccc2c1CN([C@H]1CCC(=O)NC1=O)C2=O)C(=O)O
Z00778,2382332645,-9.06,379.5,0.723,0.093,Cn1cc([C@@H]2CN(C(=O)CCc3n[nH]c4c3CCCC4)Cc3nc[nH]c32)cn1
Z00103,670441606,-9.05,390.5,0.823,0.084,Cc1ccc2nc(CNC(=O)C3CCN([C@H]4CCS(=O)(=O)C4)CC3)[nH]c2c1
Z00937,2382370910,-9.04,357.4,0.744,0.109,Cc1ccn2c(F)c(C(=O)N3C[C@H](Cc4cc(C)[nH]n4)[C@@H](O)C3)nc2c1
Z00794,20860896,-9.04,345.4,0.918,0.1,O=C(CCn1ccc(=O)[nH]c1=O)N1CCCC[C@@H]1c1cccc(F)c1
Z00434,1704302643,-9.04,356.5,0.876,0.108,CN1CCC[C@]2(CO)CCN(C(=O)CCc3nc4ccccc4[nH]3)C[C@@H]12
Z00560,2384415891,-9.03,385.4,0.769,0.107,Cc1cc(C2CCOCC2)oc(=O)c1C(=O)N1CCN(S(N)(=O)=O)CC1
Z00167,72424794,-9.03,381.4,0.847,0.094,O=C(c1c[nH]c(=O)cn1)N1CC[C@@H]2[C@@H](CCC(=O)N2CCc2ccccn2)C1
Z00894,1857676043,-9.02,337.4,0.759,0.083,O=C1COc2ccc(S(=O)(=O)N3C[C@@H]4CC(=O)N[C@@H]4C3)cc2N1
Z00414,1430615,-9.01,316.3,0.767,0.107,COc1ccc(C(=O)NC2=NC(=O)C[C@H]3C(=O)NCCN23)cc1
Z00793,138126699,-9.01,380.4,0.682,0.088,Cn1ncnc1[C@H]1C2=c3c(cc(F)cc3=N[C@@H]1c1ccc(F)cc1)C(=O)NN2
Z00840,248074998,-8.99,313.4,0.892,0.092,O=C(CN1C(=O)CCc2ccccc21)N1C[C@H]2CCCN[C@H]2C1
Z00899,2382305761,-8.98,308.4,0.612,0.119,CCc1c[nH]c(=N)nc1N1CCC2(CC1)OCC[C@H](O)[C@@H]2O
Z00461,2356149043,-8.97,383.5,0.808,0.098,NC(=O)c1noc(CN2CCC[C@@]23CCCN(CCc2ccccc2)C3=O)n1
Z00684,67966106,-8.97,356.4,0.822,0.074,COC(=O)c1cc2n(n1)CCN(C(=O)c1c(C)[nH]c3c1C(=O)CCC3)C2
Z00482,1565513251,-8.94,359.5,0.829,0.157,CC1(C(=O)N2CC[C@]3(O)CCN(c4cc(N)ncn4)C[C@@H]3C2)CCCC1
Z00998,95499045,-8.92,372.4,0.723,0.102,CCNC(=O)[C@@H]1C[C@@H](NC(=O)CCc2nc(-c3cccnc3)no2)CN1C
Z00536,72138795,-8.92,348.4,0.87,0.076,Cc1nc(=O)[nH]c(C)c1CCC(=O)N1CCC[C@]2(CN(C)C(=O)O2)C1
Z00381,95363721,-8.91,364.8,0.887,0.079,CN1C(=O)C[C@H](C(=O)O)C12CCN(C(=O)Cc1cccc(Cl)c1)CC2
Z00810,77380207,-8.9,348.8,0.866,0.084,O=C(c1cc(=O)[nH]c(O)n1)N1CCN(Cc2ccc(Cl)cc2)CC1
Z00696,1529167979,-8.9,407.5,0.661,0.097,Cn1nnc(-c2ccc(C(=O)N3CC[C@H](O)[C@](CO)(Cc4ccccc4)C3)cc2)n1
Z00939,2382393043,-8.88,364.4,0.705,0.078,Cn1c(O)nc2ccc(S(=O)(=O)N3C[C@H]4CNC(=O)[C@H]4C3)cc2c1=O
Z00183,77555262,-8.88,423.5,0.66,0.096,COc1cccc(CN2C[C@]34C=C[C@H](O3)[C@@H](C(=O)N(C)Cc3cc(C)on3)[C@H]4C2=O)c1
Z00879,299798582,-8.87,326.4,0.864,0.111,Cc1ccccc1CCC(=O)N1CC[C@H]2OCc3cnnn3[C@H]2C1
Z00324,97173206,-8.87,376.5,0.747,0.11,CCNC(=O)[C@@H]1C[C@H](NC(=O)c2cnn(CC)c2)CN1C1CCN(C)CC1
Z00742,952983752,-8.87,353.4,0.724,0.108,O=C(c1nnc(O)c2ccccc12)N1CCN(CCn2cncn2)CC1
Z00329,95509705,-8.87,369.4,0.609,0.098,COc1ccccc1-n1cc(C(=O)N[C@@H](C(=O)O)c2c(C)n[nH]c2C)cn1
Z00608,1875249068,-8.87,311.3,0.755,0.081,O=C(N=c1cc(-c2ccco2)[nH][nH]1)[C@@H]1COc2ccccc2O1
Z00209,299781746,-8.86,343.4,0.883,0.112,CC(C)Nc1ncc(C(=O)N2CC[C@@H]3OCc4cnnn4[C@H]3C2)cn1
Z00199,426693896,-8.86,368.4,0.866,0.126,COc1nccnc1-c1ccc(C(=O)N[C@H]2COC[C@@H]2N2CCCC2)cc1
Z00896,1529187279,-8.86,382.5,0.855,0.109,O=C1CO[C@H](C(=O)N2CCC(CCn3cccn3)CC2)[C@@H](c2ccccc2)N1
Z00556,1772700777,-8.86,399.5,0.757,0.124,COCC1(C(=O)N2C[C@@H]3CN(C(=O)CN)C[C@]3(CCc3ccccc3)C2)CCC1
Z00745,91907122,-8.85,380.4,0.689,0.104,Cc1ccccc1[C@@]1(O)CCN(C(=O)c2cnc(Cn3cncn3)nc2O)C1
Z00523,2356141709,-8.85,340.3,0.546,0.092,O=C(NC[C@@H](O)c1cccc(O)n1)c1cc(=O)n(-c2ccccc2)[nH]1
Z00463,1940196470,-8.85,402.5,0.656,0.105,Cc1ccn(CCC(=O)N[C@H]2C[C@H](C(=O)NCc3ccc(C)c(F)c3)C[C@@H]2O)n1
Z00736,91950716,-8.84,318.4,0.893,0.093,CCc1nc(C[C@H]2CN(c3nc(N)nc(C)c3C)CCO2)no1
Z00808,2382379157,-8.83,383.4,0.721,0.108,O=C(c1ccn2nccc2c1)N1CC[C@@H](O)[C@](CO)(Cc2ccc(F)cc2)C1
Z00152,2382425088,-8.83,389.4,0.717,0.116,Cc1ncc(C(=O)N2CC[C@H](O)[C@](Cc3cccc(F)c3)(C(=O)O)C2)c(O)n1
Z00739,2100542818,-8.83,310.3,0.839,0.125,O=C(O)[C@@H]1CN(c2ncc(F)c(N3CCCC3)n2)CC[C@@H]1O
Z00930,1857698135,-8.82,303.3,0.884,0.126,O=C(c1onc2ncccc12)N1CCO[C@H]2C[C@H](CO)C[C@@H]21
Z00125,11956938,-8.81,378.5,0.882,0.098,O[C@@H]1CN(C2Cc3ccccc3C2)CC[C@H]1N1CCN(c2ccccn2)CC1
Z00620,1278644,-8.81,262.3,0.68,0.065,CC1=NN=C2Nc3c(c(=O)n(C)c(=O)n3C)N2[C@@H]1C
Z00014,215682899,-8.81,365.5,0.797,0.102,O=C(NCCS(=O)(=O)N1CCCC1)c1cccc([C@@H]2CCCNC2)c1
Z00130,299786343,-8.81,368.4,0.893,0.109,COc1ccccc1N1C[C@H](NC(=O)c2nn(C)c3c2CCCC3)CC1=O
Z00587,426398047,-8.8,383.5,0.703,0.132,Cn1c(CN2CCOCC2)nnc1[C@@H]1CCCN(c2ncnc3[nH]cnc23)C1
