lig_id,zinc_id,can_smiles,zinc_bin
Z00112,67894238,COc1cccc(OCc2cc(C(=O)N[C@@H](CO)C(C)C)n[nH]2)c1,ED
Z00113,952736,O=C(Nc1ccon1)c1ccc(S(=O)(=O)NC[C@@H]2CCCO2)cc1,FD
Z00114,377043,COC(=O)CSc1nnc2c3ccccc3n(CC(=O)OC)c2n1,ED
Z00115,77407786,CC(=O)N[C@@H]1CN(c2ncccc2C(N)=O)C[C@H]1c1ccc(C)cc1,ED
Z00116,100666353,COC(=O)C1=C(C)NC(=S)N(C(C)=O)[C@H]1c1ccc(OC)c(OC)c1,FD
Z00117,91725102,COCCN(C)C[C@@H]1CN(C(=O)c2cc(Cl)ccc2OC)C[C@@H]1CO,FD
Z00118,1857734520,N[C@@H]1C[C@H](C(=O)NCCCOc2cccnc2)C[C@H]1O,CC
Z00119,450917934,COCC1(CN=c2[nH]cnc3[nH]ccc23)CCCC1,CD
Z00120,1940196567,CC(=O)N[C@@H]1CC[C@H](C(=O)N2CCC(C)(C)C2)C[C@H]1O,CC
Z00121,821396963,CC(C)C[C@H](NC(=O)CCCn1cncn1)C(N)=O,CC
Z00122,253534895,O=C(N[C@H]1C[C@@H](c2cc(O)ncn2)C1)c1ncc(F)cc1F,DD
Z00123,2382409651,Cc1cc(C(=O)N2CCc3c(C(=O)N(C)CCc4noc(C)n4)n[nH]c3C2)no1,GC
Z00124,534578709,CCn1cncc1CNC(=O)N1CCC[C@@H](c2noc(C)n2)C1,DD
Z00125,11956938,O[C@@H]1CN(C2Cc3ccccc3C2)CC[C@H]1N1CCN(c2ccccn2)CC1,GD
Z00126,252483752,Cc1ccc2c(c1)N(CC(=O)N[C@H](C)Cn1cncn1)C(=O)CO2,EC
Z00127,2325789406,CC1(C)C[C@H](CC(=O)NCc2cncc3c2CCC3)CN1,CD
Z00128,2382423012,CNC(=O)C[C@H]1CC[C@@H](CNC(=O)c2ccccc2OC(F)(F)F)N1C,FD
Z00129,104433389,CC(=O)[C@@H]1[C@H]2c3ccccc3O[C@@]1(C)N=c1s/c(=C/c3cn(C)nc3C)c(=O)n12,HD
Z00130,299786343,COc1ccccc1N1C[C@H](NC(=O)c2nn(C)c3c2CCCC3)CC1=O,FD
Z00131,23115132,CC(=O)Nc1c(N(C)C)cnn(-c2ccccc2)c1=O,CD
Z00132,426443281,O=C(C[C@@H]1C(=O)NCCN1Cc1ccccc1)NCc1ccsc1,ED
Z00133,95506965,COc1cc(CN2CCC(F)CC2)ccc1OC[C@H](O)CN1CCC(O)CC1,GD
Z00134,219304389,COc1cc(Cl)ccc1C(=O)N1CC(N2CCOCC2)C1,DD
Z00135,1565509520,CC(C)[C@H]1CN(Cc2ccsc2)C[C@@H]1NS(=O)(=O)N(C)C,ED
Z00136,342856597,CN(CCc1ccccn1)C(=O)CCS(C)(=O)=O,CC
Z00137,426523396,Cc1cc(CNC(=O)N(C)CC[C@H](O)c2ccccc2)n[nH]1,DD
Z00138,1529168463,O[C@@H]1CN(Cc2cnc(N3CCOCC3)nc2)C[C@H]1Cc1ccccn1,FC
Z00139,1119349138,C[C@H](NCc1nc2ccccc2[nH]1)c1nncn1C,CD
Z00140,2382394753,CC(C)n1cc(C(=O)N2CC[C@H](O)[C@@](Cc3ccccc3)(C(=O)O)C2)cn1,FD
Z00141,670468333,CN(C)CC1(CO)CCN(C(=O)[C@H]2CC23CCC3)CC1,CD
Z00142,556215,CN(C)S(=O)(=O)c1ccc(NC(=O)COc2ccccc2)cc1,ED
Z00143,2325782584,CN(C)S(=O)(=O)c1c[nH]c(C(=O)N2CC3CCC2(C)CC3)c1,ED
Z00144,15069713,CCOc1ccccc1CN1CCNC(=O)[C@H]1CC(=O)NCc1ccncn1,GC
Z00145,1529155662,Cc1cc(C[C@@H]2CN(Cc3cnn4cccnc34)C[C@H]2O)on1,DD
Z00146,72168536,CN(CCO)C(=O)C[C@@H]1C(=O)NCCN1Cc1ccc2ccccc2c1,FC
Z00147,72423733,COc1cc2c(cc1Cn1ccnc1-c1cc3n(n1)CCNC3)OCCO2,FD
Z00148,71385571,Cc1nccn1-c1ccc(CNC(=O)[C@@H]2CCCCN2)cc1,CD
Z00149,2386276444,Cc1cc(C)n([C@@H]2CCN(c3nc(C)nc4c3CCNC4=O)C2)n1,ED
Z00150,2325852675,NC(=O)c1ccc(S(=O)(=O)NC(=O)[C@]23CCCC[C@H]2C3)s1,ED
Z00151,299803128,CO[C@@]12CC[C@H](O)C[C@@H]1N(C(=O)c1cc(C)nc3onc(C)c13)CC2,ED
Z00152,2382425088,Cc1ncc(C(=O)N2CC[C@H](O)[C@](Cc3cccc(F)c3)(C(=O)O)C2)c(O)n1,GD
Z00153,16603182,CCC(=O)N1CCN(S(=O)(=O)c2ccc(F)cc2)CC1,DD
Z00154,2382381130,CN(C)C[C@H]1OCCN(C(=O)c2ccc(CO)o2)[C@@H]1c1ccccc1,ED
Z00155,96149231,COCCc1nc(C[C@@H](C)N(C)C)n(CCO)n1,CB
Z00156,2383345788,CS(=O)(=O)N1CCc2oc(C3CCOCC3)nc2C1,CC
Z00157,222926753,NC(=O)C1(C(=O)N[C@@H]2CCOC[C@H]2OCc2ccccn2)CC1,DC
Z00158,299772140,CCN(C(=O)Cc1ccc(-n2nnnc2C)cc1)[C@H]1COC[C@@H]1O,EC
Z00159,14968777,O=C(NCCN1CCCOC1=O)[C@H]1CCC(=O)N(CCc2ccccc2)C1,FD
Z00160,6726427,CCc1nnc(SCC(=O)Nc2nnc(C)s2)n1C,CD
Z00161,91562759,CC[C@H](NC(=O)Cn1cnc2ccccc2c1=O)c1cn2cccnc2n1,FD
Z00162,72448127,Cc1ncc(C(=O)N2CC[C@@H]3[C@@H](CCC(=O)N3CC(C)C)C2)c(=O)[nH]1,ED
