rank,lig_id,zinc_id,affinity,delta_vs_AMP,arm,tanimoto_to_amp,can_smiles
892,Z30273,72481564,-8.699,0.08,enrichment,0.146,Nc1ncccc1CN1CCOC[C@H]1CC(=O)N1CCc2ccccc2C1
893,Z10205,71752701,-8.698,0.08,diversity,0.116,COc1nc2c(cc1CNC(=O)Cn1ncnn1)C(=O)N(C1CCCC1)C2
894,Z13688,2383330371,-8.697,0.08,enrichment,0.144,Cn1cnc(S(=O)(=O)NC[C@H]2[C@H]3CN(Cc4cnc[nH]4)C[C@]34CC[C@H]2O4)c1
895,Z19244,299777751,-8.697,0.08,diversity,0.078,CNC(=O)[C@@H]1CCN(C(=O)c2cccc(-c3ccc(O)c(CO)c3)c2)C1
896,Z39109,1875248878,-8.695,0.08,enrichment,0.137,CO[C@@H]1CC[C@H](C(=O)NCc2n[nH]c(=N)s2)C[C@H]1NC(=O)c1cn(C)cn1
897,Z47800,72454731,-8.695,0.08,diversity,0.108,O=C(O)c1cc2ncc(-c3ccnc4[nH]ccc34)cn2n1
898,Z47313,2382388361,-8.694,0.08,enrichment,0.135,CO[C@H]1CC[C@@H](C(=O)N2CCC(C(=O)NCc3ccccn3)CC2)C[C@@H]1N
899,Z29530,2325865420,-8.694,0.08,diversity,0.093,CC(=O)N[C@H]1CO[C@@H]2[C@@H](NC(=O)[C@@H]3CCCc4nn(C)cc43)CO[C@H]12
900,Z10547,38522456,-8.693,0.09,enrichment,0.139,O=C(c1cccc(F)c1)N1CCN(c2cc(N3CCOCC3)ncn2)CC1
901,Z17559,786356,-8.692,0.09,diversity,0.090,O=C1c2ccc(-c3ccc4c(c3)C(=O)N(CCO)C4=O)cc2C(=O)N1CCO
902,Z30288,2356151782,-8.691,0.09,diversity,0.103,N=c1nc(N2CC[C@](Cc3ccccc3)(C(=O)O)[C@H](O)C2)cc[nH]1
903,Z01663,299785736,-8.688,0.09,diversity,0.101,Cn1cc([C@@H]2CN(Cc3ccc(F)cc3F)C[C@@H]2CC(=O)O)nn1
904,Z05795,1857695987,-8.687,0.09,diversity,0.089,Cc1nc([C@@H](N)C(C)C)n(CC(=O)N2CCN(C(=O)c3cccs3)CC2)n1
905,Z23517,1069526,-8.686,0.09,diversity,0.102,NC(=O)C[C@@H]1C(=O)N(c2ccc(F)cc2)C(=S)N1NC(=O)CCc1ccccc1
906,Z11514,2382398934,-8.685,0.09,enrichment,0.138,O=C(N[C@H]1C[C@H](C(=O)NCc2cscn2)CC[C@@H]1O)c1cn2cccnc2n1
907,Z29065,65403492,-8.685,0.09,diversity,0.109,Nc1nc(N2CCOCC2)nc2c1[C@@H](c1cccc3c1OCO3)CC(=O)N2
908,Z35087,2384416200,-8.682,0.1,diversity,0.114,COc1ccc(CCc2cc(C)c(C(=O)N[C@@H]3CC[C@@H]3O)c(=O)o2)cc1
909,Z26844,584899939,-8.681,0.1,enrichment,0.137,COCCc1noc(CNC(=O)N2CCC[C@H](C(=O)c3nccn3C)C2)n1
910,Z26548,97636438,-8.681,0.1,diversity,0.111,Cn1cnc2cc(C(=O)NCc3cn4c(n3)SCC4)ccc2c1=O
911,Z03070,1887616254,-8.68,0.1,diversity,0.072,O=C1C[C@H](C(F)(F)F)[C@@H](N2C(=O)c3cccc(O)c3C2=O)C(=O)N1
912,Z34363,2325823989,-8.68,0.1,diversity,0.096,Cc1cccc(S(=O)(=O)NC(=O)[C@@H](C)Oc2ccccn2)c1C
913,Z20745,167284181,-8.679,0.1,diversity,0.060,CC(=O)Nc1cc(F)c(C)c2c1C(=O)[C@@H](NC(C)=O)CC2
914,Z07658,244723671,-8.678,0.1,enrichment,0.156,O=C(N[C@H]1C[C@@H](c2cc(N3CCOCC3)ncn2)C1)N1CCOCC1
915,Z31442,2382385507,-8.678,0.1,enrichment,0.136,O=C(CCn1cnnc1)N[C@H]1CC[C@@H](C(=O)N2CCCCC2)C[C@@H]1O
916,Z08915,97632035,-8.676,0.1,enrichment,0.133,O=C(O)c1cnn2cc(CN3CCN(C4CCOCC4)CC3)cnc12
917,Z49190,2382381727,-8.675,0.1,enrichment,0.135,Cc1cnc(C)c(N2C[C@H]3[C@@H](CNC(=O)c4cscn4)[C@@H]4CC[C@@]3(C2)O4)n1
918,Z21024,2325786111,-8.675,0.1,diversity,0.109,O=C(O)c1cnn(C[C@@H]2C[C@@H](O)[C@H](NCc3nccn3-c3ccccc3)C2)c1
919,Z17353,1857725902,-8.674,0.1,enrichment,0.135,CC(C)[C@H]1CN2C[C@H](NC(=O)c3ccnc(-n4cnnc4)c3)C[C@H]2CO1
920,Z18920,55036193,-8.674,0.1,diversity,0.087,CCN1C[C@H](C(=O)N2CCC3(CC2)NC(CCC(C)C)=NC3=O)CCC1=O
921,Z29142,72434232,-8.673,0.11,enrichment,0.139,Cc1nccn1-c1cc(N2CCN(C(=O)C3CCCC3)CC2)ncn1
922,Z38742,426398949,-8.672,0.11,enrichment,0.152,Cc1cccc(OCC(=O)N[C@@H]2CCN(Cc3c(C)noc3C)C[C@H]2O)c1
923,Z21210,2382298408,-8.672,0.11,diversity,0.090,CC(=O)N[C@@H](CCC(N)=O)C(=O)N1Cc2nnc(C)n2[C@@H](CC(C)C)C1
924,Z07398,1704342863,-8.671,0.11,enrichment,0.133,CC(C)Cc1cc(C(=O)N2CC[C@@]3(CO)CCCN(C)[C@@H]3C2)nc(N)n1
